Energy (keV_ee),Efficiency,Total Exposure (kg days)
0.042,0.04,10.927
0.048,0.082,
0.054,0.14,
0.06,0.216,
0.066,0.309,
0.072,0.414,
0.078,0.521,
0.084,0.62,
0.09,0.704,
0.096,0.769,
0.102,0.818,
0.108,0.851,
0.114,0.874,
0.12,0.89,
0.126,0.899,
0.132,0.906,
0.138,0.91,
0.144,0.912,
0.15,0.913,
0.156,0.914,
0.162,0.914,
0.168,0.914,
0.174,0.914,
0.18,0.914,
0.186,0.914,
0.192,0.914,
0.198,0.913,
0.204,0.913,
0.21,0.913,
0.216,0.912,
0.222,0.912,
0.228,0.911,
0.234,0.911,
0.24,0.911,
0.246,0.91,
0.252,0.91,
0.258,0.91,
0.264,0.909,
0.27,0.909,
0.276,0.909,
0.282,0.908,
0.288,0.908,
0.294,0.908,
0.3,0.908,
0.306,0.907,
0.312,0.907,
0.318,0.907,
0.324,0.906,
0.33,0.906,
0.336,0.906,
0.342,0.906,
0.348,0.905,
0.354,0.905,
0.36,0.905,
0.366,0.904,
0.372,0.904,
0.378,0.904,
0.384,0.904,
0.39,0.903,
0.396,0.903,
0.402,0.903,
0.408,0.903,
0.414,0.902,
0.42,0.902,
0.426,0.902,
0.432,0.902,
0.438,0.901,
0.444,0.901,
0.45,0.901,
0.456,0.901,
0.462,0.901,
0.468,0.9,
0.474,0.9,
0.48,0.9,
0.486,0.9,
0.492,0.9,
0.498,0.899,
0.504,0.899,
0.51,0.899,
0.516,0.899,
0.522,0.899,
0.528,0.898,
0.534,0.898,
0.54,0.898,
0.546,0.898,
0.552,0.898,
0.558,0.897,
0.564,0.897,
0.57,0.897,
0.576,0.897,
0.582,0.897,
0.588,0.897,
0.594,0.896,
0.6,0.896,
0.606,0.896,
0.612,0.896,
0.618,0.896,
0.624,0.896,
0.63,0.896,
0.636,0.895,
0.642,0.895,
0.648,0.895,
0.654,0.895,
0.66,0.895,
0.666,0.895,
0.672,0.894,
0.678,0.894,
0.684,0.894,
0.69,0.894,
0.696,0.894,
0.702,0.894,
0.708,0.894,
0.714,0.894,
0.72,0.893,
0.726,0.893,
0.732,0.893,
0.738,0.893,
0.744,0.893,
0.75,0.893,
0.756,0.893,
0.762,0.893,
0.768,0.892,
0.774,0.892,
0.78,0.892,
0.786,0.892,
0.792,0.892,
0.798,0.892,
0.804,0.892,
0.81,0.892,
0.816,0.892,
0.822,0.891,
0.828,0.891,
0.834,0.891,
0.84,0.891,
0.846,0.891,
0.852,0.891,
0.858,0.891,
0.864,0.891,
0.87,0.891,
0.876,0.891,
0.882,0.891,
0.888,0.89,
0.894,0.89,
0.9,0.89,
0.906,0.89,
0.912,0.89,
0.918,0.89,
0.924,0.89,
0.93,0.89,
0.936,0.89,
0.942,0.89,
0.948,0.89,
0.954,0.89,
0.96,0.889,
0.966,0.889,
0.972,0.889,
0.978,0.889,
0.984,0.889,
0.99,0.889,
0.996,0.889,
1.002,0.889,
1.008,0.889,
1.014,0.889,
1.02,0.889,
1.026,0.889,
1.032,0.889,
1.038,0.888,
1.044,0.888,
1.05,0.888,
1.056,0.888,
1.062,0.888,
1.068,0.888,
1.074,0.888,
1.08,0.888,
1.086,0.888,
1.092,0.888,
1.098,0.888,
1.104,0.888,
1.11,0.888,
1.116,0.888,
1.122,0.888,
1.128,0.888,
1.134,0.888,
1.14,0.887,
1.146,0.887,
1.152,0.887,
1.158,0.887,
1.164,0.887,
1.17,0.887,
1.176,0.887,
1.182,0.887,
1.188,0.887,
1.194,0.887,
1.2,0.887,
1.206,0.887,
1.212,0.887,
1.218,0.887,
1.224,0.887,
1.23,0.887,
1.236,0.887,
1.242,0.887,
1.248,0.887,
1.254,0.887,
1.26,0.886,
1.266,0.886,
1.272,0.886,
1.278,0.886,
1.284,0.886,
1.29,0.886,
1.296,0.886,
1.302,0.886,
1.308,0.886,
1.314,0.886,
1.32,0.886,
1.326,0.886,
1.332,0.886,
1.338,0.886,
1.344,0.886,
1.35,0.886,
1.356,0.886,
1.362,0.886,
1.368,0.886,
1.374,0.886,
1.38,0.886,
1.386,0.886,
1.392,0.886,
1.398,0.886,
1.404,0.886,
1.41,0.886,
1.416,0.885,
1.422,0.885,
1.428,0.885,
1.434,0.885,
1.44,0.885,
1.446,0.885,
1.452,0.885,
1.458,0.885,
1.464,0.885,
1.47,0.885,
1.476,0.885,
1.482,0.885,
1.488,0.885,
1.494,0.885,
1.5,0.885,
1.506,0.885,
1.512,0.885,
1.518,0.885,
1.524,0.885,
1.53,0.885,
1.536,0.885,
1.542,0.885,
1.548,0.885,
1.554,0.885,
1.56,0.885,
1.566,0.885,
1.572,0.885,
1.578,0.885,
1.584,0.885,
1.59,0.885,
1.596,0.885,
1.602,0.885,
1.608,0.885,
1.614,0.885,
1.62,0.885,
1.626,0.885,
1.632,0.884,
1.638,0.884,
1.644,0.884,
1.65,0.884,
1.656,0.884,
1.662,0.884,
1.668,0.884,
1.674,0.884,
1.68,0.884,
1.686,0.884,
1.692,0.884,
1.698,0.884,
1.704,0.884,
1.71,0.884,
1.716,0.884,
1.722,0.884,
1.728,0.884,
1.734,0.884,
1.74,0.884,
1.746,0.884,
1.752,0.884,
1.758,0.884,
1.764,0.884,
1.77,0.884,
1.776,0.884,
1.782,0.884,
1.788,0.884,
1.794,0.884,
1.8,0.884,
1.806,0.884,
1.812,0.884,
1.818,0.884,
1.824,0.884,
1.83,0.884,
1.836,0.884,
1.842,0.884,
1.848,0.884,
1.854,0.884,
1.86,0.884,
1.866,0.884,
1.872,0.884,
1.878,0.884,
1.884,0.884,
1.89,0.884,
1.896,0.884,
1.902,0.884,
1.908,0.884,
1.914,0.884,
1.92,0.884,
1.926,0.884,
1.932,0.884,
1.938,0.884,
1.944,0.884,
1.95,0.884,
1.956,0.883,
1.962,0.883,
1.968,0.883,
1.974,0.883,
1.98,0.883,
1.986,0.883,
1.992,0.883,
1.998,0.883,
2.004,0.883,
2.01,0.883,
2.016,0.883,
2.022,0.883,
2.028,0.883,
2.034,0.883,
2.04,0.883,
2.046,0.883,
2.052,0.883,
2.058,0.883,
2.064,0.883,
2.07,0.883,
2.076,0.883,
2.082,0.883,
2.088,0.883,
2.094,0.883,
2.1,0.883,
2.106,0.883,
2.112,0.883,
2.118,0.883,
2.124,0.883,
2.13,0.883,
2.136,0.883,
2.142,0.883,
2.148,0.883,
2.154,0.883,
2.16,0.883,
2.166,0.883,
2.172,0.883,
2.178,0.883,
2.184,0.883,
2.19,0.883,
2.196,0.883,
2.202,0.883,
2.208,0.883,
2.214,0.883,
2.22,0.883,
2.226,0.883,
2.232,0.883,
2.238,0.883,
2.244,0.883,
2.25,0.883,
2.256,0.883,
2.262,0.883,
2.268,0.883,
2.274,0.883,
2.28,0.883,
2.286,0.883,
2.292,0.883,
2.298,0.883,
2.304,0.883,
2.31,0.883,
2.316,0.883,
2.322,0.883,
2.328,0.883,
2.334,0.883,
2.34,0.883,
2.346,0.883,
2.352,0.883,
2.358,0.883,
2.364,0.883,
2.37,0.883,
2.376,0.883,
2.382,0.883,
2.388,0.883,
2.394,0.883,
2.4,0.883,
2.406,0.883,
2.412,0.883,
2.418,0.883,
2.424,0.883,
2.43,0.883,
2.436,0.883,
2.442,0.883,
2.448,0.883,
2.454,0.883,
2.46,0.883,
2.466,0.883,
2.472,0.883,
2.478,0.883,
2.484,0.882,
2.49,0.882,
2.496,0.882,
2.502,0.882,
2.508,0.882,
2.514,0.882,
2.52,0.882,
2.526,0.882,
2.532,0.882,
2.538,0.882,
2.544,0.882,
2.55,0.882,
2.556,0.882,
2.562,0.882,
2.568,0.882,
2.574,0.882,
2.58,0.882,
2.586,0.882,
2.592,0.882,
2.598,0.882,
2.604,0.882,
2.61,0.882,
2.616,0.882,
2.622,0.882,
2.628,0.882,
2.634,0.882,
2.64,0.882,
2.646,0.882,
2.652,0.882,
2.658,0.882,
2.664,0.882,
2.67,0.882,
2.676,0.882,
2.682,0.882,
2.688,0.882,
2.694,0.882,
2.7,0.882,
2.706,0.882,
2.712,0.882,
2.718,0.882,
2.724,0.882,
2.73,0.882,
2.736,0.882,
2.742,0.882,
2.748,0.882,
2.754,0.882,
2.76,0.882,
2.766,0.882,
2.772,0.882,
2.778,0.882,
2.784,0.882,
2.79,0.882,
2.796,0.882,
2.802,0.882,
2.808,0.882,
2.814,0.882,
2.82,0.882,
2.826,0.882,
2.832,0.882,
2.838,0.882,
2.844,0.882,
2.85,0.882,
2.856,0.882,
2.862,0.882,
2.868,0.882,
2.874,0.882,
2.88,0.882,
2.886,0.882,
2.892,0.882,
2.898,0.882,
2.904,0.882,
2.91,0.882,
2.916,0.882,
2.922,0.882,
2.928,0.882,
2.934,0.882,
2.94,0.882,
2.946,0.882,
2.952,0.882,
2.958,0.882,
2.964,0.882,
2.97,0.882,
2.976,0.882,
2.982,0.882,
2.988,0.882,
2.994,0.882,
3,0.882,
3.006,0.882,
3.012,0.882,
3.018,0.882,
3.024,0.882,
3.03,0.882,
3.036,0.882,
3.042,0.882,
3.048,0.882,
3.054,0.882,
3.06,0.882,
3.066,0.882,
3.072,0.882,
3.078,0.882,
3.084,0.882,
3.09,0.882,
3.096,0.882,
3.102,0.882,
3.108,0.882,
3.114,0.882,
3.12,0.882,
3.126,0.882,
3.132,0.882,
3.138,0.882,
3.144,0.882,
3.15,0.882,
3.156,0.882,
3.162,0.882,
3.168,0.882,
3.174,0.882,
3.18,0.882,
3.186,0.882,
3.192,0.882,
3.198,0.882,
3.204,0.882,
3.21,0.882,
3.216,0.882,
3.222,0.882,
3.228,0.882,
3.234,0.882,
3.24,0.882,
3.246,0.882,
3.252,0.882,
3.258,0.882,
3.264,0.881,
3.27,0.881,
3.276,0.881,
3.282,0.881,
3.288,0.881,
3.294,0.881,
3.3,0.881,
3.306,0.881,
3.312,0.881,
3.318,0.881,
3.324,0.881,
3.33,0.881,
3.336,0.881,
3.342,0.881,
3.348,0.881,
3.354,0.881,
3.36,0.881,
3.366,0.881,
3.372,0.881,
3.378,0.881,
3.384,0.881,
3.39,0.881,
3.396,0.881,
3.402,0.881,
3.408,0.881,
3.414,0.881,
3.42,0.881,
3.426,0.881,
3.432,0.881,
3.438,0.881,
3.444,0.881,
3.45,0.881,
3.456,0.881,
3.462,0.881,
3.468,0.881,
3.474,0.881,
3.48,0.881,
3.486,0.881,
3.492,0.881,
3.498,0.881,
3.504,0.881,
3.51,0.881,
3.516,0.881,
3.522,0.881,
3.528,0.881,
3.534,0.881,
3.54,0.881,
3.546,0.881,
3.552,0.881,
3.558,0.881,
3.564,0.881,
3.57,0.881,
3.576,0.881,
3.582,0.881,
3.588,0.881,
3.594,0.881,
3.6,0.881,
3.606,0.881,
3.612,0.881,
3.618,0.881,
3.624,0.881,
3.63,0.881,
3.636,0.881,
3.642,0.881,
3.648,0.881,
3.654,0.881,
3.66,0.881,
3.666,0.881,
3.672,0.881,
3.678,0.881,
3.684,0.881,
3.69,0.881,
3.696,0.881,
3.702,0.881,
3.708,0.881,
3.714,0.881,
3.72,0.881,
3.726,0.881,
3.732,0.881,
3.738,0.881,
3.744,0.881,
3.75,0.881,
3.756,0.881,
3.762,0.881,
3.768,0.881,
3.774,0.881,
3.78,0.881,
3.786,0.881,
3.792,0.881,
3.798,0.881,
3.804,0.881,
3.81,0.881,
3.816,0.881,
3.822,0.881,
3.828,0.881,
3.834,0.881,
3.84,0.881,
3.846,0.881,
3.852,0.881,
3.858,0.881,
3.864,0.881,
3.87,0.881,
3.876,0.881,
3.882,0.881,
3.888,0.881,
3.894,0.881,
3.9,0.881,
3.906,0.881,
3.912,0.881,
3.918,0.881,
3.924,0.881,
3.93,0.881,
3.936,0.881,
3.942,0.881,
3.948,0.881,
3.954,0.881,
3.96,0.881,
3.966,0.881,
3.972,0.881,
3.978,0.881,
3.984,0.881,
3.99,0.881,
3.996,0.881,
4.002,0.881,
4.008,0.881,
4.014,0.881,
4.02,0.881,
4.026,0.881,
4.032,0.881,
4.038,0.881,
4.044,0.881,
4.05,0.881,
4.056,0.881,
4.062,0.881,
4.068,0.881,
4.074,0.881,
4.08,0.881,
4.086,0.881,
4.092,0.881,
4.098,0.881,
4.104,0.881,
4.11,0.881,
4.116,0.881,
4.122,0.881,
4.128,0.881,
4.134,0.881,
4.14,0.881,
4.146,0.881,
4.152,0.881,
4.158,0.881,
4.164,0.881,
4.17,0.88,
4.176,0.88,
4.182,0.88,
4.188,0.88,
4.194,0.88,
4.2,0.88,
4.206,0.88,
4.212,0.88,
4.218,0.88,
4.224,0.88,
4.23,0.88,
4.236,0.88,
4.242,0.88,
4.248,0.88,
4.254,0.88,
4.26,0.88,
4.266,0.88,
4.272,0.88,
4.278,0.88,
4.284,0.88,
4.29,0.88,
4.296,0.88,
4.302,0.88,
4.308,0.88,
4.314,0.88,
4.32,0.88,
4.326,0.88,
4.332,0.88,
4.338,0.88,
4.344,0.88,
4.35,0.88,
4.356,0.88,
4.362,0.88,
4.368,0.88,
4.374,0.88,
4.38,0.88,
4.386,0.88,
4.392,0.88,
4.398,0.88,
4.404,0.88,
4.41,0.88,
4.416,0.88,
4.422,0.88,
4.428,0.88,
4.434,0.88,
4.44,0.88,
4.446,0.88,
4.452,0.88,
4.458,0.88,
4.464,0.88,
4.47,0.88,
4.476,0.88,
4.482,0.88,
4.488,0.88,
4.494,0.88,
4.5,0.88,
4.506,0.88,
4.512,0.88,
4.518,0.88,
4.524,0.88,
4.53,0.88,
4.536,0.88,
4.542,0.88,
4.548,0.88,
4.554,0.88,
4.56,0.88,
4.566,0.88,
4.572,0.88,
4.578,0.88,
4.584,0.88,
4.59,0.88,
4.596,0.88,
4.602,0.88,
4.608,0.88,
4.614,0.88,
4.62,0.88,
4.626,0.88,
4.632,0.88,
4.638,0.88,
4.644,0.88,
4.65,0.88,
4.656,0.88,
4.662,0.88,
4.668,0.88,
4.674,0.88,
4.68,0.88,
4.686,0.88,
4.692,0.88,
4.698,0.88,
4.704,0.88,
4.71,0.88,
4.716,0.88,
4.722,0.88,
4.728,0.88,
4.734,0.88,
4.74,0.88,
4.746,0.88,
4.752,0.88,
4.758,0.88,
4.764,0.88,
4.77,0.88,
4.776,0.88,
4.782,0.88,
4.788,0.88,
4.794,0.88,
4.8,0.88,
4.806,0.88,
4.812,0.88,
4.818,0.88,
4.824,0.88,
4.83,0.88,
4.836,0.88,
4.842,0.88,
4.848,0.88,
4.854,0.88,
4.86,0.88,
4.866,0.88,
4.872,0.88,
4.878,0.88,
4.884,0.88,
4.89,0.88,
4.896,0.88,
4.902,0.88,
4.908,0.88,
4.914,0.88,
4.92,0.88,
4.926,0.88,
4.932,0.88,
4.938,0.88,
4.944,0.88,
4.95,0.88,
4.956,0.88,
4.962,0.88,
4.968,0.88,
4.974,0.88,
4.98,0.88,
4.986,0.88,
4.992,0.88,
4.998,0.88,
5.005,0.88,
5.011,0.88,
5.017,0.88,
5.023,0.88,
5.029,0.88,
5.035,0.88,
5.041,0.88,
5.047,0.88,
5.053,0.88,
5.059,0.88,
5.065,0.88,
5.071,0.88,
5.077,0.88,
5.083,0.88,
5.089,0.88,
5.095,0.88,
5.101,0.88,
5.107,0.879,
5.113,0.879,
5.119,0.879,
5.125,0.879,
5.131,0.879,
5.137,0.879,
5.143,0.879,
5.149,0.879,
5.155,0.879,
5.161,0.879,
5.167,0.879,
5.173,0.879,
5.179,0.879,
5.185,0.879,
5.191,0.879,
5.197,0.879,
5.203,0.879,
5.209,0.879,
5.215,0.879,
5.221,0.879,
5.227,0.879,
5.233,0.879,
5.239,0.879,
5.245,0.879,
5.251,0.879,
5.257,0.879,
5.263,0.879,
5.269,0.879,
5.275,0.879,
5.281,0.879,
5.287,0.879,
5.293,0.879,
5.299,0.879,
5.305,0.879,
5.311,0.879,
5.317,0.879,
5.323,0.879,
5.329,0.879,
5.335,0.879,
5.341,0.879,
5.347,0.879,
5.353,0.879,
5.359,0.879,
5.365,0.879,
5.371,0.879,
5.377,0.879,
5.383,0.879,
5.389,0.879,
5.395,0.879,
5.401,0.879,
5.407,0.879,
5.413,0.879,
5.419,0.879,
5.425,0.879,
5.431,0.879,
5.437,0.879,
5.443,0.879,
5.449,0.879,
5.455,0.879,
5.461,0.879,
5.467,0.879,
5.473,0.879,
5.479,0.879,
5.485,0.879,
5.491,0.879,
5.497,0.879,
5.503,0.879,
5.509,0.879,
5.515,0.879,
5.521,0.879,
5.527,0.879,
5.533,0.879,
5.539,0.879,
5.545,0.879,
5.551,0.879,
5.557,0.879,
5.563,0.879,
5.569,0.879,
5.575,0.879,
5.581,0.879,
5.587,0.879,
5.593,0.879,
5.599,0.879,
5.605,0.879,
5.611,0.879,
5.617,0.879,
5.623,0.879,
5.629,0.879,
5.635,0.879,
5.641,0.879,
5.647,0.879,
5.653,0.879,
5.659,0.879,
5.665,0.879,
5.671,0.879,
5.677,0.879,
5.683,0.879,
5.689,0.879,
5.695,0.879,
5.701,0.879,
5.707,0.879,
5.713,0.879,
5.719,0.879,
5.725,0.879,
5.731,0.879,
5.737,0.879,
5.743,0.879,
5.749,0.879,
5.755,0.879,
5.761,0.879,
5.767,0.879,
5.773,0.879,
5.779,0.879,
5.785,0.879,
5.791,0.879,
5.797,0.879,
5.803,0.879,
5.809,0.879,
5.815,0.879,
5.821,0.879,
5.827,0.879,
5.833,0.879,
5.839,0.879,
5.845,0.879,
5.851,0.879,
5.857,0.879,
5.863,0.879,
5.869,0.879,
5.875,0.879,
5.881,0.879,
5.887,0.879,
5.893,0.879,
5.899,0.879,
5.905,0.879,
5.911,0.879,
5.917,0.879,
5.923,0.879,
5.929,0.879,
5.935,0.879,
5.941,0.879,
5.947,0.879,
5.953,0.879,
5.959,0.879,
5.965,0.879,
5.971,0.879,
5.977,0.879,
5.983,0.879,
5.989,0.879,
5.995,0.879,
